StateAbbr,State,Question,Response,PopOver65,BothEmployed,BothUnemployed,PhysicalActivity,AlcoholConsumption,LessThanHS
NH,New Hampshire,Adults who have had at least one drink of alcohol within the past 30 days,Yes,1326813,153816,41070,4855,3492,291
NJ,New Jersey,Adults who have had at least one drink of alcohol within the past 30 days,Yes,8938175,890240,228554,9891,6911,938
NM,New Mexico,Adults who have had at least one drink of alcohol within the past 30 days,Yes,2085572,149874,74768,6826,3730,1063
NY,New York,Adults who have had at least one drink of alcohol within the past 30 days,Yes,19746227,1667978,528718,5122,3548,604
NC,North Carolina,Adults who have had at least one drink of alcohol within the past 30 days,Yes,9943964,895982,346542,5493,2991,899
ND,North Dakota,Adults who have had at least one drink of alcohol within the past 30 days,Yes,739482,90388,22150,5940,4264,472
OH,Ohio,Adults who have had at least one drink of alcohol within the past 30 days,Yes,11594163,1102362,398190,7837,4906,842
OK,Oklahoma,Adults who have had at least one drink of alcohol within the past 30 days,Yes,3878051,344438,130136,5785,3016,832
OR,Oregon,Adults who have had at least one drink of alcohol within the past 30 days,Yes,3970239,355712,155034,4319,2925,285
PA,Pennsylvania,Adults who have had at least one drink of alcohol within the past 30 days,Yes,12787209,1246966,444672,8191,5413,774
RI,Rhode Island,Adults who have had at least one drink of alcohol within the past 30 days,Yes,1055173,101354,31350,4850,3745,503
SC,South Carolina,Adults who have had at least one drink of alcohol within the past 30 days,Yes,4832482,400504,187182,8087,4647,1288
SD,South Dakota,Adults who have had at least one drink of alcohol within the past 30 days,Yes,853175,102048,24974,5768,3796,496
TN,Tennessee,Adults who have had at least one drink of alcohol within the past 30 days,Yes,6549352,575122,237238,3523,1670,650
TX,Texas,Adults who have had at least one drink of alcohol within the past 30 days,Yes,26956958,2286894,673694,11132,6735,2108
UT,Utah,Adults who have had at least one drink of alcohol within the past 30 days,Yes,2942902,291906,74384,12443,4030,780
VT,Vermont,Adults who have had at least one drink of alcohol within the past 30 days,Yes,626562,73848,20850,5226,3955,314
VA,Virginia,Adults who have had at least one drink of alcohol within the past 30 days,Yes,8326289,842090,238182,7122,4491,771
WA,Washington,Adults who have had at least one drink of alcohol within the past 30 days,Yes,7061530,667590,231746,8270,5824,496
WV,West Virginia,Adults who have had at least one drink of alcohol within the past 30 days,Yes,1850326,147548,93282,4368,1905,763
WI,Wisconsin,Adults who have had at least one drink of alcohol within the past 30 days,Yes,5757564,646660,204268,5482,4229,386
WY,Wyoming,Adults who have had at least one drink of alcohol within the past 30 days,Yes,584153,67316,17850,4700,2832,344
